WKT	name	beslissing	pointid	Naam	openheid_sbp	sample_order	batch	zichtbaarheid	wegtype
POINT (3.002587 50.854725 0.0)	NA	behouden	Zn_46371.1.1	Zandleemstreek	HOL buiten plan	44	eerste set	0.364008600383255	unclassified
POINT (4.965865 50.826307 0.0)	NA	behouden	Zn_4647.8	Zandleemstreek	OL binnen plan	51	eerste set	0.569153823588728	track
POINT (4.256152 50.770674 0.0)	NA	behouden	Zn_46987.4	Zandleemstreek	OL buiten plan	48	eerste set	0.474257225473508	track
POINT (2.824035 50.985798 0.0)	NA	behouden	Zn_47748.8	Zandleemstreek	HOL binnen plan	10	eerste set	0.46462458109701	track
POINT (3.08407 50.794687 0.0)	NA	behouden	Zn_47936.1	Zandleemstreek	HOL buiten plan	1	eerste set	0.626347649574113	track
POINT (4.60237 50.812921 0.0)	NA	vervanging	Zn_48113.1	Zandleemstreek	HOL binnen plan	52	reserve set	0.33322929139903	track
POINT (2.815435 50.827945 0.0)	NA	behouden	Zn_48774.8	Zandleemstreek	OL binnen plan	33	eerste set	0.737950865279773	unclassified
POINT (3.539268 50.790781 0.0)	NA	behouden	Zn_50440.5	Zandleemstreek	HOL binnen plan	11	eerste set	0.756313093622466	unclassified
POINT (3.586544 50.822131 0.0)	NA	behouden	Zn_50441.1.3	Zandleemstreek	OL buiten plan	18	eerste set	0.737348825006222	unclassified
POINT (2.882608 50.781577 0.0)	NA	behouden	Zn_51451.1	Zandleemstreek	HOL binnen plan	29	eerste set	0.486523796046684	track
POINT (4.571205 50.803301 0.0)	NA	behouden	Zn_52194.2	Zandleemstreek	OL binnen plan	53	eerste set	0.593762219769298	track
POINT (3.102808 50.837487 0.0)	NA	behouden	Zn_52249.3	Zandleemstreek	OL buiten plan	19	eerste set	0.461313359592588	unclassified
POINT (3.566274 50.911519 0.0)	NA	vervanging	Zn_53201.3	Zandleemstreek	HOL binnen plan	56	reserve set	0.64305426716453	unclassified
POINT (3.979918 50.831658 0.0)	NA	behouden	Zn_53732.7	Zandleemstreek	OL buiten plan	38	eerste set	0.455443466925633	track
